乱前看不足	不足
青萝锁在小山颠	锁
向来下视千山水	向来
疑是苍梧万里天	天
风尘满天下	风尘
此地独清明	清明
神州何处是	神州
有泪落新亭	落
看尽门前柳	柳
愁多白发新	愁多
灞桥风雨夜	夜
离别是何人	何人
新州在何处	新州
有个养亲人	养
一旦成佛去	成佛
那知昔卖薪	昔
满衣血泪与尘埃	尘埃
乱后还乡亦可哀	哀
风雨梨花寒食后	风雨
几家坟上子孙来	子孙
从来野性自由身	身
正欲山行不乱群	山行
小筑与君今不远	君
松萝只隔一山云	隔
花未全开月未圆	月
看花候月思依然	思
明知花月无情物	无情
若使多情更可怜	使
从来非不求知己	非
方觉俗情似流水	流水
消息毫端总是空	空
奇哉道味深无比	深
桐江波上一羊裘	羊裘
钓得声名隘九州	声名
天子曷尝遗故旧	天子
先生不肯事王侯	先生
拂水斜烟一万条	万条
几随春色倚河桥	倚
不知别后谁攀折	攀折
犹自风流胜舞腰	风流
落日愁飞雨	愁
云中一线明	明
西湖将尽处	西湖
忽见大江横	横
一重山子一重云	云
行尽天涯转苦辛	转
蓦劄归来屋里坐	坐
落花啼鸟一般春	落花
一朵蓬莱在世间	世间
梵王宫阙翠云间	间
近南溪水更清浅	溪水
闻道游人未忍还	游人
庐阜西头是谪仙	谪仙
篮舆正欲上青天	青天
霓旌羽盖何时返	霓旌
怅望洪崖阻拍肩	怅望
陌上清歌最可听	最
谁知此是断肠声	声
就中更有杨枝曲	曲
恨杀昏鸦及晓莺	恨
疎梅元自映疎篁	梅
谁把璚瑶特地妆	妆
雪后园林应更好	园林
却输和靖在钱塘	钱塘
梅竹交阴晚更奇	晚
等闲片石亦相宜	相宜
此时亭上潇潇雨	雨
墙外行人却未知	行人
天光投白浪	投
山势尽苍烟	苍烟
借问中原路	路
奔腾落日边	落日
雪羽卧晴沙	卧
渔人无可虑	渔人
机事亦难忘	难忘
不知且飞去	飞去
自昔梅花雪作团	梅花
红梅晚出可人看	可人
江梅不解追时好	不解
只守冰姿度岁寒	度
霜树今无一叶留	留
日边云暗使人愁	使
独怜扬子湾头岸	岸
犹有黄花恋晚秋	犹
一水泻寒玉	一水
数峰罗翠屏	数峰
渔樵自来往	来往
不悟落丹青	落
虚室更深冷不眠	冷
翛翛孤坐几经年	年
昨宵又觉还耽睡	睡
元是新铺白玉毡	新
惆怅朝阳午又斜	斜
剩栽桃李学仙家	学
花开花落人如旧	旧
谁道容颜不及花	花
残红委地水平池	池
杨柳阴阴莺乱飞	杨柳
山色满楼新雨后	新
一帘风絮卷春归	卷
哀猿啼断暮云深	深
摸索床头未尽金	金
莫道他乡千万里	他乡
去家三日几般心	心
雨过山庵树色鲜	树
江城四月尚衣绵	江城
本来行饭尝新茗	本来
又得凭栏看插田	凭栏
应物功夫出世间	世间
岂容人可强跻攀	人
我侬自是不知量	量
增塿须求比泰山	增
天理流行不用寻	寻
鸢飞鱼跃自升沉	鱼跃
细观自有昭然处	自有
始信严师是此心	此心
五湖深处足逍遥	深处
错把扁舟系柳条	扁舟
尘世不如烟水阔	阔
笑骑黄鹤上层霄	笑
路出双湖烟树东	东
舟行长是雨兼风	雨
梦回重有离家恨	恨
惆怅春寒此夜中	春寒
庭下蔷薇树	树
花开玉雪球	玉
主人明日去	主人
相对似含愁	相对
笔底荷花水面浮	浮
纤毫造化夺工夫	工夫
为谁画出生绡上	画出
泰华山头玉井图	图
风信不来春色老	春色
却忆后园驴吃草	草
满天明月赠行人	明月
野客溪边归路早	早
远行当岁暮	岁暮
冰雪路难分	分
疋马阳关外	外
边声落日闻	闻
白雾重重山复山	重重
山光树色有无间	间
是中紫翠皆诗料	紫翠
病起无聊着句难	难
眼底山光半有无	有无
芙蓉面目定何如	何如
忽然皓月当空挂	挂
始信山灵不负予	山灵
乐游原上少年春	春
安乐窝中快活身	身
古到如今如几日	几日
吁嗟天也不由人	人
嗟我明年是七旬	嗟
此生能见几番春	春
凭谁为补青天漏	青天
放出春光处处新	新
不作桃李态	桃李
山林别是春	春
但令心似夷	心似
何虑惹缁尘	尘
晚色在何处	晚色
楼高天宇低	低
閒云无去住	住
归燕自东西	东西
晚来江上鲁鱼风	风
十里青山一望中	青山
自是欲归人意急	急
等閒付与济川功	功
一岁与君三别离	君
盍簪此去定何时	盍簪
梅花未必堪相寄	梅花
待倩邮筒寄小诗	邮筒
一闭昭阳二十春	春
才瞻天表已胡尘	瞻
由来错认君王弃	由来
过眼何曾屈一人	何曾
白云堆里看青山	青山
猿鸟为邻日往还	鸟
黄绮後身应我是	身
再来依旧一生闲	闲
血染斑斑成锦纹	成
昔年遗恨至今存	存
分明知是湘妃泣	分明
何忍将身卧泪痕	卧
一夜空山闻杜鹃	闻
落花流水两茫然	流水
凭栏不觉春归去	春
目极平芜绿际天	绿
无色庭前石	石
无声石上琴	无声
此时寂寞意	意
千载有知音	千载
绿色映波千古恨	恨
至今南浦两依依	依依
我今又出江东去	江东
多少行人宦未归	行人
生前百事无如意	生前
死后浮名总是空	空
刚把穷愁作题目	穷愁
哦诗不要晚年工	诗
忽忽离家且一年	一年
春风又是海棠天	春风
还家何以遗妻子	遗
倾倒囊诗近百篇	诗
窗外修篁仅百竿	窗外
相看不待报平安	报平安
何时得我身强健	身
共尔青青到岁寒	青青
广陵人去客天涯	客
旧馆凄凉闭落花	落花
立马斜阳空洒泪	空
一声横笛起邻家	一声
水边篱落影疏疏	影
一见风姿意豁如	意
驿使莫嫌时节晚	晚
少留春半作春初	春初
深院人閒酒浅斟	酒
日长帘幕自沉沉	沉沉
梅花可是因春瘦	梅花
洗雨梳风太不禁	太
空山杳杳鸾凤飞	飞
神仙门户开翠微	神仙
主人白发云满衣	云
松间留我谈玄机	留
一再荒林雪	雪
全身掩薜萝	掩
直饶埋没得	埋没
争柰鼻头何	争
遗却珊瑚鞭	鞭
白马骄不行	白马
章台折杨柳	章台
春日路傍情	情
雨砌风亭长绿苔	雨
壁间题字半尘埃	尘埃
城南萧寺无人迹	城南
几度曾因送客来	曾
从来父子不相离	父子
石女何劳更问伊	石
昨夜寒岩无影木	昨夜
白云深处露横枝	白云
高亭四望与天开	天开
乘兴登临亦快哉	登临
胸次如公无滞念	胸次
时时只合眺崔嵬	时时
吴头楚尾路如何	路
烟雨秋深暗自波	烟雨
晚趁寒潮渡江去	晚
满林黄叶雁声多	黄叶
空山杳杳鸾凤飞	飞
神仙门户开翠微	神仙
主人白发雪霞衣	雪
松间留我谈玄机	留
一叶扁舟泛渺茫	扁舟
呈桡舞棹别宫商	舞
云山海月都抛却	云山
赢得庄周蝶梦长	蝶梦
陶家篱下未开时	开时
曾得西风借力吹	曾
月影夜深笼素艳	夜深
分明残雪两三枝	分明
一枕寒江浪拍天	一枕
更添急霰打船舷	急
人间有底风波恶	人间
不废山翁夜熟眠	夜
鸡鸣犬吠相闻地	鸡鸣
穴处巢居上古风	穴处
饱饭不为明日虑	不为
酣歌便过百年中	百年
神女祠前猿夜鸣	猿
相公溪上草初生	草
重游惟有西窗梦	梦
一点灯青梦不成	梦
梁家天子抱琵琶	天子
泪洒华林御苑花	花
今日闻韶无处所	今日
雁烟蛩雨属他家	雨
欲看太乙青藜火	火
笑领仙人绿玉杯	绿
物外同心谁管鲍	物外
山中清话得张裴	山中
紫塞黄云万里间	间
征夫一望总潸潸	总
今古沙场惟白骨	惟
几人生入玉门关	几人
江上荒城猿鸟悲	江上
隔江便是屈原祠	便是
一千五百年间事	五百
只有滩声似旧时	旧时
逼仄何逼仄	逼仄
官居尘土中	尘土
高城与隔尽	隔
惟有一溪风	溪风
虚斋篆炉烟	炉烟
兀然得禅寂	禅寂
虽有锦绣肠	虽有
画饼安可食	食
近岸人家欲闭门	闭门
远林烟树半昏昏	烟树
鸬鹚白鹭归何晚	晚
今夜定投何处村	村
波光磨不尽	不尽
镜面绝纤尘	纤尘
照昨红亭子	红
亭这似美人	亭
萧萧古道西风雨	西
惨惨黄昏匹马行	行
未遇功名莫嗟叹	功名
逢时更自忆平生	平生
池塘春草谢家春	春
万古千秋五字新	新
传语闭门陈正字	闭门
可怜无补费精神	精神
开帘见新月	新月
便即下阶拜	下阶拜
细语人不闻	细语
北风吹裙带	吹
爱君紫阁峰前好	紫阁
新作书堂药灶成	成
见欲移居相近住	住
有田多与种黄精	种
水中疏影月中香	月
枯树前头独自芳	芳
不有幽人时赏玩	幽人
谁传春信及寒乡	春信
高花古柳傍城闉	闉
游目江城次第新	新
百感中来倚惆怅	倚
满城烟雨满城春	春
庐陵米价没譊讹	讹
半说低兮半说高	高
此话要圆缄却口	圆
听他江浙闹嘈嘈	闹
坐阅人间几劫灰	人间
试从清浅问蓬莱	问
此山此水自古有	自古
是佛是仙何处来	仙
隋家宫殿锁清秋	锁
曾见婵娟飏绣球	婵娟
金钥玉箫俱寂寂	俱
一天明月照高楼	明月
一叶凌风入硖来	一叶
山童指点几崔嵬	崔嵬
急流勇退平生意	平
正要船从半道回	船
主人翁已强安名	主人
何待区区唤一声	一声
坐得石头穿透底	坐
依然打个不惺惺	依然
暂入新丰市	新丰市
犹闻旧酒香	旧
抱琴沽一醉	一醉
尽日卧垂杨	卧
汉高礼义入陵夷	礼义
械到萧何更有谁	萧何
惟有子房云外客	客
不称名字冠当时	当时
隐隐西南月一钩	月
春风落日澹如秋	春风
房栊半掩无人语	无人
鼓角声中始欲愁	声中
燕子营巢得所依	燕子
衔泥辛苦傍人飞	辛苦
秋风一夜惊桐叶	秋风
不恋雕梁万里归	万里
野馆孤灯半灭明	明
江壖月落夜潮生	夜
无端乡思三更后	无端
听尽萧萧风雨声	萧萧
万红千紫已摧残	摧残
留得荼醾一架看	留
燕子不知人意懒	人
飞来帘里诉春寒	飞来
轮郭休夸四字书	轮
红窠写出对庭除	红
时时买得佳人笑	笑
本色金钱却不如	金钱
江上清香隔水闻	闻
林间不见雪纷纷	雪
春寒忽忆登山屐	春寒
归梦犹寻谷口云	云
零落残花一两枝	零落
绿阴庭院燕差池	绿阴
隔墙笑语秋千散	散
惆怅三泉驿里时	惆怅
孤山尝试一登临	登临
归梦纷然绕故林	绕
个是平生安乐处	平生
清泉白石总关心	总
闲地三寸刃锋芒	三寸
匝地风霜定纪纲	风霜
若是丈夫真意气	意气
任君敲磕振风光	风光
陇首怨西征	怨
岭南雁北顾	岭南
行人与流水	行人
共向闽中去	闽中
春风满山花正开	春风
春衫女儿红杏腮	女儿
侬家荡桨过江去	家
为问阿郎来不来	问
十日连江雨不休	雨
雨声随处种闲愁	种
搴帘欲待晴时去	帘
不为春寒不下楼	不为
天地太萧索	天地
山川何渺茫	山川
不堪星斗柄	不堪
犹把岁寒量	犹
尚有周郎手种痕	尚有
怀人将竹当人看	竹
寄言黄鹤楼前客	客
今岁新添十五竿	今岁
揜抱复回环	复
亭居紫翠间	亭
思量天下物	天下
谁更好如山	如山
华屋春将尽	春
纱窗日易昏	昏
不知多少恨	恨
相见与君言	相见
客怀处处不宜秋	秋
秋到梧桐动客愁	梧桐
想得故人无字到	故人
鴈声远过夕阳楼	声
津亭芳草碧毵毵	碧
人立东风酒半酣	东风
万点落花舟一叶	落花
载将春色到江南	江南
河湟何计绝烽烟	河
免使征人更戍边	征人
尽放农桑无一事	农桑
遣教知有太平年	年
袖舞秋风尾瘦藤	秋风
南归岳麓看传灯	传灯
先寻古殿经行处	行处
唤醒当年吃攧僧	当年
倒影晴溪蘸碧峰	蘸
庵居活计尽从容	居
懒能著眼看时事	时事
相约梅花住过冬	梅花
溪水虽多曲	曲
舟行不惮赊	赊
山山秋树赤	山
犹复似桃花	桃花
一峰高插丙丁间	间
南极星光伴我閒	伴
不向仙君乞如愿	乞
只从造物觅如山	觅
送我弥旬未忍回	送
可怜萧索把离杯	萧索
不辞更宿中岩下	不辞
投老余年岂再来	再
日落川更阔	阔
烟生山欲浮	烟生
舟中有闲地	闲地
载我得同游	载
红烛剪还明	剪
绿尊添又满	添
不愁前路长	愁
只畏今宵短	短
渐老无功业	渐
闲思惜壮年	惜
桑榆如有得	如有
犹可勒燕然	勒燕然
太乙真人一叶莲	一叶
浮游万顷思悠然	思
我今不愿瀛洲去	瀛洲
愿作香风水上仙	仙
华容芦荻里	芦荻
一炬可无遗	一炬
叹息刘玄德	叹息
平生见事迟	平生
客行满山雪	雪
香处是梅花	梅花
丁宁明月夜	丁宁
认取影横斜	影
蹋雪迢迢过水涯	雪
翠禽见客却咨嗟	嗟
此翁只识孤山路	路
不识玄都观里花	不识
玉笛横吹入夜分	分
中天华月度流云	度
苕川两岸春风起	春风
飞尽梅花不见君	梅花
又逢春色在君家	春色
碧草笼烟带浅沙	碧草
燕子不皈人欲去	燕子
小窗寂寞海棠花	花
玉树声沉战舰收	收
万家冠盖入中州	万家
只应江令偏惆怅	偏
头白归来是客游	归来
闻莺才觉晓	觉晓
闭户已知晴	晴
一带窗间月	月
斜穿枕上生	生
近来曾与二三子	曾
准拟诛茅紫翠间	准拟
老石摩挲堪篆刻	堪
恨无笔力记西山	恨
九重天子去蒙尘	天子
御柳无情依旧春	春
今日不关妃妾事	今日
始知辜负马嵬人	人
一双秋水佩吴钩	秋水
百二山河属壮游	属
往事销沉遗迹在	往事
断鞭斜日过鸿沟	断
闻郎今日来	今日
日斜何不至	日斜
应知篙橹迟	迟
羡杀云中翅	云中
客里又深秋	深秋
凄凉怕举头	凄凉
西风吹败叶	吹
叶叶是归愁	叶叶
老来方欲卧林泉	卧
一蹑红尘只自怜	红尘
已与山灵有成说	山灵
秋风归骑急加鞭	秋风
红颗珍珠诚可爱	诚
白须太守亦何痴	太守
十年结子知谁在	十年
自向庭中种荔枝	种
望极平湖不得山	山
水长山远画图间	画图间
赋诗不似王摩诘	诘
湖北湖南空往还	湖南
江边小市旧经过	小
岁月真如东逝波	东
茶灶酒垆多识面	酒
少留卖药买渔蓑	买
古寺相留跨两年	跨
穷通出处固天然	天然
短檠灯火掩书卷	掩
屡听芭蕉夜雨眠	夜
江山有恨非吾土	江山
花鸟相逢故恼翁	相逢
百岁唯余二十五	百岁
一春强半又成空	一春
伴我行千里	行
携君过万山	万山
未明心地印	明
难透祖师关	关
不求玉杵杵	求
不要水银银	银
但祝未来世	世
长为无病人	人
几年无事傍江湖	傍
醉倒黄公旧酒垆	醉倒
觉后不知明月上	明月
满身花影倩人扶	扶
一径数里间	间
巉岩镇幽谷	镇
中夹清溪流	清
白云长断续	白云
江淮表里拱神州	拱
底事干戈不肯休	休
试上凤凰台上望	凤凰
定山尽处是瓜洲	尽处
几宵烟月锁楼台	锁
欲寄侯门荐下才	寄
满面尘埃人不识	人
谩随流水出山来	流水
萧萧竹径鸣	萧萧
卷幔如有情	有情
木落寒山里	寒
千林共一声	一声
孤城永巷时相见	孤城
衰柳闲门日半斜	衰柳
欲送近臣朝魏阙	送
犹怜残菊在陶家	犹怜
皎皎天上月	月
随人如有情	有情
何当背银烛	背
充我如绝缨	绝缨
马迹山前万树梅	山前
千花万花如雪开	如雪
满载扬州秋露白	扬州
玉箫吹过太湖来	玉箫
听尽灯前细雨声	声
声声总是别离情	声声
何时断得闲烦恼	闲
一任芭蕉滴到明	明
到处吟兼上马吟	吟
总无愁恨自伤心	伤心
无端梦得钧天乐	乐
尽觉宫商不是音	音
金陵烟草绿	绿
玉塞霜天白	霜天
万里隔关山	万里
年来断消息	年
提起数珠呈伎俩	呈
无端弄出孩童相	弄
何似月明霜满天	霜
孤猿啼断千峰上	千峰
船头触处浪花生	生
船尾随人山影行	行
一水到家能几许	一水
顺流东下片时程	程
天涯地角古来传	天涯
今在天涯地角边	天涯
日日江头望江水	日日
蛮风瘴雨又凄然	凄然
门外须臾风竹定	门外
橹声摇曳出芦花	芦花
白鸟一双帘外去	一双
芦花风静钓舟闲	闲
一锡南飞度碧空	度
宝坊遥在白云中	白云
定知门外青松树	青
别后新枝已向东	新枝
语不能工恨作堆	恨
撚髭空对翠屏开	翠屏
清吟赖有雕龙手	手
绣段联翩诏后来	诏
恐是凝酥染得黄	黄
月中清露滴来香	香
定知何逊牵诗兴	牵
借与穿帘一点光	一点
捩船又报五更开	船
浪静风恬亦快哉	风恬
归路早知如此稳	归路
莼鲈未熟已归来	归来
九重云外步虚声	声
十二时中太古情	情
为问当年赤松子	问
人生何处是功成	人生
西塞云山远	远
东风道路长	东风
人心胜潮水	胜
相送过浔阳	送
荡桨入平湖	平湖
湖波渺无极	湖波
红白芙蓉花	花
何如妾颜色	何如
绮罗丝竹沸名园	名园
想见春风玉树前	春风
况是天公饶一月	饶
何妨行乐倍他年	年
春雨新晴上翠微	翠微
三年两过洞天扉	三年
尘踪不得多时住	住
又向云间一宿归	云间
琼林玉树竞奢华	竞
老眼光摇眩有花	有花
莫是幻成银色界	界
楼台胜处梵王家	楼台
海神知贵不知价	价
留与人间光照夜	人间
碧眼胡僧笑点头	笑
谁知用处无缝罅	用处
闻道行人至	行人
妆梳对镜台	妆
泪痕犹尚在	泪痕
笑靥自然开	自然
百年亭子一朝新	新
三舍先生遇拂尘	先生
城里看花多处所	看花
此中只待采芹人	人
圣贤皆一道	一道
十方常浩浩	浩浩
当体即如来	如来
何须苦修造	苦
点点风帆底处还	点点
似无似有海门山	山
白鸥却怕潮头恶	恶
闲卧汀花野草间	间
此去非关兴	兴
君行不当游	游
无因两处马	马
共饮一溪流	溪流
杜老诗中佛	诗中
能言竹有香	竹
欲知殊胜处	欲知
说著早清凉	早
五更星斗稀	稀
霜叶光烂烂	霜叶
健儿争先起	争先
拂拭宝刀看	拂拭
愁兼杨柳一丝丝	愁
客舍江南暮雨时	江南
自入春来才思减	春来
杏花开过不题诗	杏花
无赖夭桃面	面
平时露井东	东
春风为开了	春风
却拟笑春风	笑春风
寂寞空阶草乱生	草
簟凉风动若为情	凉
不知独坐闲多少	闲
看得蜘蛛结网成	成
闲来仙观问希夷	问
云满星坛水满池	水
羽客不知何处去	羽客
洞前花落立多时	花落
报应差殊事不同	差殊
劳生何用出樊笼	樊笼
欲知自性天真佛	佛
尽在朝昏一念中	朝昏
霜拂金鞍玉坠腰	霜
鸡声催入紫宸朝	紫宸
何如云壑饱清梦	何如
残月半窗松影摇	松
春风桃灼灼	春风
秋雨黍离离	秋雨
眼底千年事	千年
空山独坐时	空山
汉宫日暮风雷远	远
南国秋深水殿寒	寒
留得一枝烟雨里	留
又随人去报平安	人去
湖山几度少年游	湖山
散发吹箫坐小舟	坐
秋鬓苍苍春树碧	碧
更堪重过百花洲	百花
湘江无潮水	湘江
日夜一向流	流
别心无彼此	别心
两处各悠悠	悠悠
牡丹花下柳梢头	柳
睡足芳情烂不收	烂
借问黑甜何境界	黑甜
春风无处不扬州	春风
腊月三十日	腊月
腊月二十九	腊月
等是岁华终	终
无事穷相守	无事
簟纹如水浸蟾光	浸
睡觉湖边月半床	月
道是广寒疑不是	道
月中那得藕花香	月中
暖律催花花	花
晴晖活柳枝	柳枝
发生虽有信	信
造化本无私	造化
子美来投蜀锦坊	投
蜀人满口说文章	人
卿云已后成机杼	云
不是无才赋海棠	海棠
悠悠天地间	间
草木献奇怪	草木
投老一蒲团	蒲团
山中大自在	山中
自有春愁正断魂	自有
不堪芳草思王孙	思
落花寂寂黄昏雨	雨
深院无人独倚门	无人
三十六陂秋水来	秋水
龙蛇奔走起风雷	龙蛇
老僧与置南轩地	老僧
会是凭栏心目开	凭栏
骑鲸捉月莫辞劳	劳
海角天涯打一遭	天涯
后夜再三捞摝得	捞
碧天云静一轮高	高
且折花枝醉复醒	折
人间时节易峥嵘	人间
屠龙肯自羞无用	羞
画虎从人笑不成	笑
六朝翻译传来妙	妙
到头未悟当时窍	当时
须信枝头老凤凰	枝头
春来翻作黄莺叫	春来
歌舞从来最得名	最
如今老寄洛阳城	寄
当时醉送龙骧曲	醉
留与谁家唱月明	留
故园荷屋傍濂溪	傍
苦爱莲花入梦思	思
今日题诗还自笑	今日
江湖尘土鬓成丝	江湖
月堕沧浪西	月
门开树无影	树
此时归梦阑	阑
立在梧桐井	梧桐
一入咸阳尽旧游	旧游
春风台榭对芳洲	春风
非关好景留人醉	醉
自是行人醉不休	醉
游蜂辛苦事芳菲	辛苦
嚼蕊偷香酿蜜脾	偷香
还被东风巧收拾	东风
又随春色上南枝	春色
留落犹能领物华	物华
名园又作醉生涯	醉
何妨海内功名士	功
共赏人间富贵花	花
客中相见倍相亲	倍
白酒黄鸡莫笑贫	贫
君住淮南我淮北	淮南
如何不是故乡人	人
红炉鼓浪瞥然间	间
突出银山照胆寒	寒
便是马师胡乱后	便是
要须不被舌头瞒	舌头
金谷花时醉几场	醉
旧游无日不思量	旧游
谁知万水千山里	千山
枉被人言过洛阳	人
去年今日凤山头	今日
儿女团栾争劝酬	争
不及松江烟雨里	烟雨
独搔华发一扁舟	扁舟
古殿烧残不记年	年
冷光相射斗牛寒	寒
投机会有挥斤手	手
碧瓦朱甍翠插天	翠
金榜题名墨尚新	新
今年依旧去年春	春
花间每被红妆问	问
何事重来只一人	何事
黄陵庙前枫叶丹	丹
黄陵渡头烟水寒	寒
美人万里不相见	万里
月子弯弯只自看	自看
秋晚行堤上	行
书声在茅屋	茅屋
月出不逢人	人
风来弄修竹	弄
水边林下逢衲子	水边
我亦来追六月凉	凉
传得黄州新句法	新
茗搜文字响枯肠	响
朔风边月蓟门秋	月
画角呜呜百尺楼	楼
自著戎衣频上策	频
三年不起别家愁	愁
绝壑松风泻瀑声	松风
此身如寄画图清	清
馀生结得东林社	生
三笑亭前看月明	明
年年是好年	年
日日是好日	日
好事大家知	好事
今朝正月一	今朝
一击虚空成粉碎	成
渭川千亩亦徒劳	渭川
不沾一点湘妃泪	一点
自是无心节更高	高
高人不惜地	高人
自种无边春	春
莫随流水去	流水
恐污世间尘	尘
传语岩前五百牛	牛
尘缘误我意无憀	误
灵山寺有三生契	寺
更约天台度石桥	度
二十年前旧师友	旧
一灯相对坐谈玄	坐
炉香茗椀不须睡	不须
惟有今霄是旧年	旧年
五粒松花酒	酒
双谿道士家	家
唯求缩却地	缩
乡路莫教赊	赊
梅山遗迹若为寻	寻
怪石崚嶒一径深	深
未必当时真隐处	当时
清风自觉袭衣襟	清风
明朝来岁总过去	岁
密意深情几度春	春
此是吾徒尘垢事	徒
敢将上下位星辰	星辰
急雨斜风一夜狂	一夜
客衾愁枕五更长	愁
问君个里情怀恶	恶
不听鹃啼也断肠	啼
朝元阁迥羽衣新	新
首按昭阳第一人	人
当日不来高处舞	舞
可能天下有胡尘	天下
颺下采樵斧	斧
直入碓坊舂	舂
一脚踏到底	踏
黄梅信息通	通
袖手穷山一少年	少年
何曾有楚到澶渊	何曾
英雄正自无人识	无人
盖世功名却偶然	功名
忍泪相看酒共持	酒
一生心事几人知	一生
年年折尽东亭柳	年年
此别绵绵无尽期	期
白云亭上白云闲	闲
云满危栏雪满山	雪
雪似白云云似雪	云
不知何处是人间	人间
西山不到几经春	春
玉山犹能一再临	玉山
太白峰前成梦境	成
直从总角到于今	总角
家住清江江上村	江上
江云山影自平分	江云
几回早起开门看	几回
不见青山见白云	青山
勿学唐人李杜痴	痴
作诗须作古人诗	诗
世传李杜文章伯	文章
问著关雎恐不知	恐
主人情意深	深
不管江妃怨	怨
折我最繁枝	最
不许冰壶荐	荐
采得千年药	千年
临流净洗藏	藏
至今源里水	水
犹带旧时香	香
忽忆旧乡头已白	头
牙齿欲落真可惜	欲落
临江把臂难再得	难
江水江花岂终极	江水
寂寞荒坛枕水边	寂寞
长沙施药已千年	千年
松间风露如前日	风露
何事无人更得仙	无人
潮来溅雪欲浮天	雪
潮去奔雷又寂然	寂然
海上两山元不动	海上
更添此意画中传	画
风急梅花片片飞	飞
游人星散市声稀	游人
翻思往日西楼约	约
不至天明不肯归	不肯
江枫自蓊郁	江枫
不竞松筠力	力
一叶落渔家	落
残阳带秋色	秋色
晴烟漠漠柳毵毵	柳
不那离情酒半酣	酒
更把马鞭云外指	指
断肠春色在江南	江南
大丈夫儿合自知	合
得便宜是落便宜	落
无心用处急回首	回首
莫待天明失却鸡	鸡
岭外春过半	春
途中火又新	新
殷勤清远峡	殷勤
留恋北归人	留恋
海上新晴野水春	春
烟村花鸟送行尘	尘
十年客路堪惆怅	十年
况复今朝别故人	今朝
青衫往事几经秋	秋
白首重来忆旧游	重来
今夜台城无限月	月
更凭樽酒豁羇愁	愁
山中之乐何由说	山中
知者不言言者拙	不言
红尘飞尽散松风	散
独酌寒泉弄明月	明月
太白山根秋夜静	静
乱泉深水绕床鸣	鸣
病来空馆闻风雨	闻
恰似当年枕上声	声
汉川城上角三呼	三呼
扈跸防边列万夫	列
褒姒冢前烽火起	前
不知泉下破颜无	泉下
鉴湖一曲记蓬莱	一曲
櫂入红蕖挽不回	挽
今日池光少公事	今日
好怀聊复为渠开	聊复
每忆纤鳞游尺泽	游
翻愁弱羽上丹霄	丹霄
岸傍古堠应无数	傍
次第行看别路遥	路遥
偶然骑鹤去游仙	偶然
来访泉山古洞天	古
一剑当空又飞去	飞去
碧潭惊起老龙眠	眠
本不将心挂名利	挂
亦无情意在樊笼	樊笼
鹿裘藜杖且归去	归去
富贵荣华春梦中	富贵
邦人竞说江都胜	人
一朵千金尚恐非	尚
自笑寒厅何自得	自笑
但余阶砌长苔衣	阶砌
沐浴兰汤在此辰	兰汤
内园仙境物华新	新
轻丝五彩缠金缕	金缕
共祝尧年寿万春	年
大堤花里锦江前	前
诗酒同游四十年	十年
不料中秋最明夜	最
洞庭湖上见当天	洞庭
雪後楼台欲暮时	雪
游人只道上灯迟	迟
月轮贴在梅花背	月
错认梅枝作桂枝	桂枝
为惜年光自不支	年光
西楼谁唱送春词	唱
出门何处无芳草	芳草
欲倩东风住少时	东风
着身静处观人事	身
放意闲中炼物情	闲中
去尽风波存止水	存
世间何事不能平	何事
夜来急雪打船窗	窗
今夜推窗月满江	月
堪恨无情一枝橹	一枝
水禽惊起不成双	双
生涯得力句	句
尽被维摩说	维摩
空劫一壶天	壶天
泥牛耕破月	月
采花枝上宝旛新	新
看遍秦山楚水春	春
村舍不知时节换	换
傍檐百舌苦撩人	苦
莫笑官居如传舍	传舍
故应人世等浮云	浮云
百年父老知谁在	百年
惟有双松识使君	识
孤绝山南寺	寺
僧居无限清	清
不知行道处	行道
空听暮钟声	声
红芳晓露浓	浓
绿树秋风冷	绿树
共喜巧回春	巧
不妨闲弄影	闲
路入梁州似掌平	路入
秋千蹴鞠趁清明	清明
未论日远长安近	长安
且喜南山天际横	喜
清风为我晓开关	清风
风外浮云过雨还	浮云
湛湛可怜清上下	清
一篙溪水水边出	水边
铿锵金石三千首	金石
吐纳云烟四十年	十年
自有山神回俗驾	自有
不愁大尹触吟鞭	愁
骨鲠嘉言忆旧臣	臣
故应赴诏近严宸	诏
席前若下清明问	问
且说江南一味贫	江南
偶然眠一觉	眠
推枕起来惊	惊
寂寞犹前日	犹
荣华已隔生	荣华
偶出送山客	送
不知游梵宫	游
秋光古松下	秋光
谁伴一仙翁	伴
迸月川鱼跃	月
开云岭鸟翻	翻
径斜荒草恶	荒草
台废治花繁	花繁
簿书堆里得抽身	书
梅柳风前触眼新	新
报答好春还著语	报答
今朝犹喜是闲人	今朝
云山依旧接清秋	接
高阁荒榛怅旧游	旧游
二十四桥何处所	二十
西风吹尽白蘋洲	吹
侍从常向北方游	游
龙虎台前正麦秋	龙虎
信是上京无暑气	无暑气
行装五月载貂裘	载
掖垣春色自天来	春色
红药当阶次第开	红药
萱草丛丛尔何物	萱草
等闲穿破绿莓苔	绿
不到兹台四十年	十年
临风独立意悠然	意
胸中多少难言事	难
便欲凭高叩九天	九天
白苇黄茅几断魂	断魂
数家鸡犬不相闻	鸡犬
江南多少朱门闭	江南
桑柘春深绿似云	云
此邦是处见蛾眉	蛾眉
独有斯亭见处寄	寄
对此已添离别恨	恨
可堪更值夕阳时	夕阳
